"filename", "language", "C#", "XML", "JSON", "Properties", "Python", "comment", "blank", "total"
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\C3PO_ysayi3ca_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 17, 0, 0, 1, 18
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\GeneratedInternalTypeHelper.g.cs", "C#", 26, 0, 0, 0, 0, 27, 10, 63
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\GeneratedInternalTypeHelper.g.i.cs", "C#", 26, 0, 0, 0, 0, 27, 10, 63
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\MainWindow.g.cs", "C#", 59, 0, 0, 0, 0, 15, 12, 86
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\MainWindow.g.i.cs", "C#", 59, 0, 0, 0, 0, 15, 12, 86
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\GuiTutorial.g.cs", "C#", 57, 0, 0, 0, 0, 15, 12, 84
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\GuiTutorial.g.i.cs", "C#", 57, 0, 0, 0, 0, 15, 12, 84
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\HardwareTutorial.g.cs", "C#", 57, 0, 0, 0, 0, 15, 12, 84
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\HardwareTutorial.g.i.cs", "C#", 57, 0, 0, 0, 0, 15, 12, 84
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\ScanFinals.g.cs", "C#", 51, 0, 0, 0, 0, 15, 12, 78
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\ScanFinals.g.i.cs", "C#", 51, 0, 0, 0, 0, 15, 12, 78
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\ScanInProgress.g.cs", "C#", 51, 0, 0, 0, 0, 15, 12, 78
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\ScanInProgress.g.i.cs", "C#", 51, 0, 0, 0, 0, 15, 12, 78
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\ScanResults.g.cs", "C#", 68, 0, 0, 0, 0, 15, 15, 98
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\ScanResults.g.i.cs", "C#", 68, 0, 0, 0, 0, 15, 15, 98
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\ScanResultsEmpty.g.cs", "C#", 51, 0, 0, 0, 0, 15, 12, 78
"c:\dev\CS-425-Team-20\CS-425-Team-20\C3PO\C3PO\obj\Debug\net6.0-windows\View\ScanResultsEmpty.g.i.cs", "C#", 51, 0, 0, 0, 0, 15, 12, 78
